genotype,labeled,sex,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
NF1(WT/WT),,Female,Left,DN,ON alpha,DJID_2289,300,0,0,0,30,30,314,314,53.3333333333333,1.33333333333333,122.105263157895,0.461187214611872
NF1(WT/WT),,Female,Left,DT,ON alpha,DJID_2289,233.333333333333,2.72222,4.66666666666667,0.333333333333333,30,42,224,439,119.333333333333,85.6666666666667,106.070588235294,0.649769585253456
NF1(WT/WT),,Female,Left,DN,ON alpha,DJID_2289,366.666666666667,0,0,0,30,30,614,314,85,7,194.206896551724,0.220095693779904
NF1(WT/WT),,Female,Left,DT,ON alpha,DJID_2289,300,0,0,0,42,30,314,224,106.666666666667,7.33333333333333,141,0.364605543710021
NF1(WT/WT),,Female,Left,DT,ON alpha,DJID_2289,333.333333333333,2.16667,0.333333333333333,0.666666666666667,30,30,160,314,180.666666666667,60.6666666666667,64.0813953488372,0.57787481804949
NF1(WT/WT),,Female,Left,DT,ON alpha,DJID_2289,266.666666666667,0,0,0,30,30,314,224,93.3333333333333,12.6666666666667,107.276595744681,0.75
NF1(WT/WT),,Female,Left,DN,ON alpha,DJID_2289,400,0,0,0,30,42,314,439,84.3333333333333,3.33333333333333,174.933333333333,0.204761904761905
NF1(WT/WT),,Female,Left,DT,ON alpha,DJID_2289,300,0,0,0,30,30,224,439,119.666666666667,19.3333333333333,115.222772277228,0.681498829039813
NF1(WT/WT),,Female,Left,DN,ON alpha,DJID_2289,533.333333333333,0,0,0,42,30,439,439,110,7.33333333333333,202.958904109589,0.147826086956522
NF1(WT/WT),,Female,Left,DT,ON alpha,DJID_2289,233.333333333333,0,0,0,30,30,314,314,92.3333333333333,40.6666666666667,146.635338345865,0.804560260586319
NF1(WT/WT),,Female,Right,DT,ON alpha,DJID_2289,200,21.5417,18.25,12.5,30,82,224,1200,90.25,29.5,95.578125,0.183606557377049
NF1(WT/WT),,Female,Right,DT,ON alpha,DJID_2289,300,0.0555556,0.666666666666667,0,30,30,224,224,114.666666666667,13.6666666666667,101.870967741935,0.333333333333333
NF1(WT/WT),,Female,Right,DT,ON alpha,DJID_2289,333.333333333333,3.88889,9,1.33333333333333,30,30,224,314,122.666666666667,10.6666666666667,80.1960784313726,0.103448275862069
NF1(WT/WT),,Female,Right,DT,ON alpha,DJID_2289,300,1.72222,4,0.333333333333333,30,42,224,224,107.666666666667,10.6666666666667,103.68023255814,0.398268398268398
NF1(WT/WT),,Female,Right,DT,ON alpha,DJID_2289,200,0.111111,0.333333333333333,0,30,30,224,224,89.6666666666667,9.16666666666667,106.86301369863,0.375959079283887
