genotype,labeled,sex,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
NF1(WT/WT),F,Female,Left,DN,OFF sustained alpha,DJID_2289,366.666666666667,102.889,7.66666666666667,94.3333333333333,314,82,30,858,99.6666666666667,141,429,NaN
NF1(WT/WT),F,Female,Left,DT,OFF sustained alpha,DJID_2289,200,55.1111,7,17.6666666666667,439,439,1200,59,56.3333333333333,54,876.5,NaN
NF1(WT/WT),F,Female,Left,DN,OFF sustained alpha,DJID_2289,300,85.6389,7.66666666666667,87.5,314,30,30,314,83.5,126.666666666667,373.142857142857,NaN
NF1(WT/WT),F,Female,Left,DT,OFF sustained alpha,DJID_2289,233.333333333333,114.111,12,70,224,314,30,115,114,121.333333333333,240.695652173913,NaN
NF1(WT/WT),F,Female,Left,DN,OFF sustained alpha,DJID_2289,300,77.0833,38,22.5,439,858,42,42,86,82,676.5,NaN
NF1(WT/WT),F,Female,Left,DN,OFF sustained alpha,DJID_2289,233.333333333333,97.1111,9.33333333333333,97,314,30,30,439,89.3333333333333,131.666666666667,494,NaN
NF1(WT/WT),F,Female,Left,DN,OFF sustained alpha,DJID_2289,166.666666666667,54.5,11,45,439,59,30,1200,66.3333333333333,76.6666666666667,528.673913043478,NaN
NF1(WT/WT),F,Female,Right,DT,OFF sustained alpha,DJID_2289,266.666666666667,109.528,15.8333333333333,112.166666666667,160,30,30,858,102.166666666667,130.833333333333,195.625,NaN
NF1(WT/WT),F,Female,Right,DT,OFF sustained alpha,DJID_2289,333.333333333333,94.1111,7.66666666666667,85,614,115,30,614,87.3333333333333,110.666666666667,1045.25,NaN
NF1(NF1-KO/WT),F,Female,Right,DT,OFF sustained alpha,DJID_2290,200,73.4444,6,47.6666666666667,858,858,42,160,62,99.6666666666667,911.560975609756,NaN
NF1(NF1-KO/WT),F,Female,Right,DT,OFF sustained alpha,DJID_2290,133.333333333333,32.2778,1,0,439,314,42,42,13,78.6666666666667,519.625,NaN
NF1(NF1-KO/WT),F,Female,Right,DN,OFF sustained alpha,DJID_2290,233.333333333333,78.0556,8,82.3333333333333,314,30,30,314,62.3333333333333,108.666666666667,404,NaN
NF1(NF1-KO/WT),F,Female,Right,DT,OFF sustained alpha,DJID_2290,200,52.5,3.66666666666667,73.3333333333333,115,614,30,82,39.6666666666667,135.666666666667,140.928571428571,NaN
NF1(NF1-KO/WT),F,Female,Right,DN,OFF sustained alpha,DJID_2290,233.333333333333,72.1667,4.66666666666667,74.3333333333333,314,614,30,115,60.6666666666667,105.333333333333,524,NaN
NF1(NF1-KO/WT),F,Female,Right,DN,OFF sustained alpha,DJID_2290,233.333333333333,86.0556,5.33333333333333,82.6666666666667,224,160,30,439,58.6666666666667,110.666666666667,249.6,NaN
NF1(NF1-KO/WT),F,Male,Left,DN,OFF sustained alpha,DJID_2296,233.333333333333,62.2222,5.33333333333333,61.3333333333333,614,42,30,314,58.3333333333333,91.3333333333333,2014,NaN
NF1(NF1-KO/WT),F,Male,Left,DN,OFF sustained alpha,DJID_2296,233.333333333333,61.3889,18,52.6666666666667,439,59,30,224,67,93.6666666666667,680.071428571428,NaN
NF1(NF1-KO/WT),F,Male,Left,VT,OFF sustained alpha,DJID_2296,266.666666666667,87.8889,18.3333333333333,87.6666666666667,314,42,30,439,86.6666666666667,108.666666666667,371.558139534884,NaN
NF1(NF1-KO/WT),F,Male,Left,DN,OFF sustained alpha,DJID_2296,250,79.1667,6,81.6666666666667,614,30,30,224,75.3333333333333,109.666666666667,1139,NaN
NF1(NF1-KO/WT),F,Male,Left,VT,OFF sustained alpha,DJID_2296,250,65.1667,14.6666666666667,52,439,439,59,314,77.6666666666667,81,537.214285714286,NaN
NF1(NF1-KO/WT),F,Male,Left,DN,OFF sustained alpha,DJID_2296,233.333333333333,76.5556,5.33333333333333,72.6666666666667,858,30,42,614,74,96.3333333333333,1341.55555555556,NaN
NF1(NF1-KO/WT),F,Male,Left,DN,OFF sustained alpha,DJID_2296,233.333333333333,69.3889,5.33333333333333,65.6666666666667,439,115,42,314,70.6666666666667,103.666666666667,725.666666666667,NaN
NF1(NF1-KO/WT),F,Male,Left,DN,OFF sustained alpha,DJID_2296,233.333333333333,81.5,6,77.3333333333333,314,59,30,224,82.3333333333333,111.333333333333,395,NaN
NF1(NF1-KO/WT),F,Male,Left,DN,OFF sustained alpha,DJID_2296,266.666666666667,73.3333,6.66666666666667,67.6666666666667,1200,42,30,314,74.3333333333333,109.333333333333,10060,NaN
NF1(WT/WT),F,Male,Right,VT,OFF sustained alpha,DJID_2295,300,79.1111,12.6666666666667,85.6666666666667,314,42,30,314,74.6666666666667,118.666666666667,504,NaN
NF1(WT/WT),F,Male,Right,DN,OFF sustained alpha,DJID_2295,233.333333333333,60.2222,5.66666666666667,54.6666666666667,314,82,30,224,64,73.3333333333333,337.181818181818,NaN
NF1(WT/WT),F,Male,Right,DN,OFF sustained alpha,DJID_2295,250,56.8333,11,36,439,30,42,1200,56,91,519.882352941176,NaN
NF1(WT/WT),F,Male,Right,DN,OFF sustained alpha,DJID_2295,233.333333333333,60.7778,14.6666666666667,46.3333333333333,439,1200,30,30,63.3333333333333,66.3333333333333,714,NaN
NF1(WT/WT),F,Male,Right,VT,OFF sustained alpha,DJID_2295,300,83.2222,26,81,314,30,30,439,76,112,533.375,NaN
NF1(WT/WT),F,Male,Right,VN,OFF sustained alpha,DJID_2295,233.333333333333,81.9444,38.3333333333333,78.3333333333333,314,30,30,1200,81.3333333333333,105.333333333333,637.4375,NaN
NF1(WT/WT),F,Male,Right,DN,OFF sustained alpha,DJID_2295,200,63.0556,6.66666666666667,57,1200,82,42,224,74.6666666666667,79,5005,NaN
NF1(WT/WT),F,Male,Right,DN,OFF sustained alpha,DJID_2295,266.666666666667,78.4444,23.3333333333333,60,314,858,30,30,81,80.6666666666667,435.153846153846,NaN
NF1(WT/WT),F,Male,Right,VT,OFF sustained alpha,DJID_2295,300,73.0556,10,79,224,30,30,439,67.3333333333333,130.666666666667,272,NaN
NF1(WT/WT),F,Male,Right,DT,OFF sustained alpha,DJID_2295,233.333333333333,60.5139,8,54.25,439,82,30,858,65.3333333333333,69.6666666666667,939,NaN
NF1(NF1-KO/WT),F,Female,Left,VN,OFF sustained alpha,DJID_2292,366.666666666667,96.8333,7.66666666666667,104.666666666667,224,30,30,224,76.3333333333333,145,316,NaN
NF1(NF1-KO/WT),F,Female,Left,DT,OFF sustained alpha,DJID_2292,266.666666666667,102.444,12.6666666666667,85.6666666666667,439,115,30,314,92,120.666666666667,3089.49999999999,NaN
NF1(NF1-KO/WT),F,Female,Left,DT,OFF sustained alpha,DJID_2292,266.666666666667,90.5556,18.3333333333333,70,314,30,858,224,122.666666666667,112,1590,NaN
NF1(NF1-KO/WT),F,Female,Left,DT,OFF sustained alpha,DJID_2292,266.666666666667,93,13.6666666666667,65.3333333333333,224,160,42,439,94.3333333333333,106.333333333333,411.428571428571,NaN
NF1(NF1-KO/WT),F,Female,Left,VN,OFF sustained alpha,DJID_2292,366.666666666667,91.2778,8,75.3333333333333,314,1200,30,614,86,116,468.285714285714,NaN
NF1(NF1-KO/WT),F,Female,Left,VN,OFF sustained alpha,DJID_2292,300,91.7222,5.66666666666667,103.666666666667,224,30,30,314,93.6666666666667,153.666666666667,243.428571428571,NaN
NF1(NF1-KO/WT),F,Female,Left,DT,OFF sustained alpha,DJID_2292,266.666666666667,88.7778,17.6666666666667,59.3333333333333,115,115,30,314,99,95.6666666666667,146.232142857143,NaN
NF1(NF1-KO/WT),F,Female,Left,VN,OFF sustained alpha,DJID_2292,166.666666666667,57.6111,25.6666666666667,39,314,82,30,224,70,77.3333333333333,425.774193548387,NaN
NF1(WT/WT),F,Female,Left,DN,OFF sustained alpha,DJID_2291,300,120.194,31.6666666666667,129,160,30,30,1200,113.5,178,190.755395683453,NaN
NF1(WT/WT),F,Female,Left,DT,OFF sustained alpha,DJID_2291,233.333333333333,89.8889,39.6666666666667,46.6666666666667,439,1200,115,314,97,101,1926.5,NaN
NF1(WT/WT),F,Female,Left,DN,OFF sustained alpha,DJID_2291,300,91.2778,8,53,224,224,42,30,95,83,233.253012048193,NaN
NF1(WT/WT),F,Female,Left,DN,OFF sustained alpha,DJID_2291,266.666666666667,86.5,6,75.3333333333333,1200,160,30,1200,69.6666666666667,111.666666666667,4278,NaN
