genotype,labeled,sex,which_eye,quadrant,cell_type,animal_id,peak_FR,baseline_FR,min_spikes_ON,min_spikes_OFF,min_size_ON,min_size_OFF,peak_size_ON,peak_size_OFF,peak_spikes_ON,peak_spikes_OFF,half_peak_size,SI
NF1(WT/WT),F,Female,Left,DT,OFF transient alpha,DJID_2289,366.666666666667,44.6667,7.33333333333333,44,224,42,30,224,44,102.666666666667,254.608695652174,NaN
NF1(WT/WT),F,Female,Left,DN,OFF transient alpha,DJID_2289,400,36.5,16.6666666666667,38.3333333333333,224,42,42,314,35.3333333333333,68.6666666666667,330.666666666667,NaN
NF1(WT/WT),F,Female,Left,DT,OFF transient alpha,DJID_2289,366.666666666667,50.6667,15.3333333333333,47.3333333333333,314,30,30,224,50.6666666666667,111.666666666667,659,NaN
NF1(WT/WT),F,Female,Left,DN,OFF transient alpha,DJID_2289,366.666666666667,19.2778,6,18.3333333333333,614,30,30,314,20,41.6666666666667,876.5,NaN
NF1(WT/WT),F,Female,Left,DN,OFF transient alpha,DJID_2289,333.333333333333,24.8889,17.6666666666667,23.6666666666667,1200,30,224,614,24.6666666666667,36,11283.25,NaN
NF1(WT/WT),F,Female,Left,DN,OFF transient alpha,DJID_2289,266.666666666667,30.0556,23.3333333333333,30.3333333333333,858,30,82,614,32,46.3333333333333,5746.33333333333,NaN
NF1(WT/WT),F,Female,Left,DT,OFF transient alpha,DJID_2289,200,42.0556,2.33333333333333,40.3333333333333,439,30,30,224,40.6666666666667,69.6666666666667,472.653846153846,NaN
NF1(WT/WT),F,Female,Left,DN,OFF transient alpha,DJID_2289,400,25.7778,5,26.6666666666667,614,42,42,439,26,50.3333333333333,733.318181818182,NaN
NF1(WT/WT),F,Female,Right,DT,OFF transient alpha,DJID_2289,266.666666666667,53.0556,33,53.3333333333333,314,30,30,1200,53.6666666666667,69,4768.99999999997,NaN
NF1(WT/WT),F,Female,Right,DT,OFF transient alpha,DJID_2289,325,31.6458,10.125,28.5,439,30,42,858,32.625,69.1428571428571,5501.5,NaN
NF1(NF1-KO/WT),F,Female,Right,DN,OFF transient alpha,DJID_2290,266.666666666667,27.6111,21.3333333333333,26.3333333333333,439,59,224,439,29.3333333333333,43.3333333333333,1391,NaN
NF1(NF1-KO/WT),F,Female,Right,DN,OFF transient alpha,DJID_2290,300,18.3889,9.66666666666667,16,439,30,30,224,16.6666666666667,44.6666666666667,892.125,NaN
NF1(NF1-KO/WT),F,Female,Right,DN,OFF transient alpha,DJID_2290,300,38.7778,7.66666666666667,38.6666666666667,314,30,30,314,38.6666666666667,85,461.857142857143,NaN
NF1(NF1-KO/WT),F,Female,Right,DN,OFF transient alpha,DJID_2290,333.333333333333,27.2778,16,28.6666666666667,439,30,30,439,31.6666666666667,79.6666666666667,615.470588235294,NaN
